x,y,z,coordinate,t_stat,p_value,cohens_d,depr_mean,control_mean,depr_greater
27,48,20,"(27, 48, 20)",2.4731,0.017512,0.7086,0.9389,0.899,True
19,78,12,"(19, 78, 12)",-2.4593,0.017513,-0.6633,1.0317,1.0452,False
36,92,20,"(36, 92, 20)",-2.4907,0.017515,-0.6089,1.0148,1.0389,False
18,59,21,"(18, 59, 21)",-2.4868,0.017519,-0.6109,1.0332,1.0488,False
9,63,19,"(9, 63, 19)",-2.4587,0.017531,-0.6534,1.0314,1.0434,False
63,32,26,"(63, 32, 26)",2.5508,0.017562,0.8324,1.0512,1.0352,True
26,60,13,"(26, 60, 13)",-2.458,0.017562,-0.6529,1.0269,1.0425,False
13,74,16,"(13, 74, 16)",-2.4644,0.017562,-0.631,1.0394,1.0509,False
21,12,12,"(21, 12, 12)",2.4994,0.017575,0.7578,1.0392,1.0219,True
15,64,26,"(15, 64, 26)",-2.5041,0.017575,-0.602,1.0235,1.0479,False
31,80,20,"(31, 80, 20)",-2.4641,0.017583,-0.6305,1.0068,1.0292,False
19,58,21,"(19, 58, 21)",-2.4849,0.017619,-0.6101,1.014,1.042,False
5,38,20,"(5, 38, 20)",2.4711,0.01762,0.7091,1.0427,1.0276,True
35,84,22,"(35, 84, 22)",-2.4726,0.017624,-0.6189,1.0255,1.0475,False
30,54,29,"(30, 54, 29)",2.4761,0.017637,0.7198,0.9877,0.9419,True
45,19,12,"(45, 19, 12)",-2.4607,0.01765,-0.6337,1.0377,1.0497,False
20,59,20,"(20, 59, 20)",-2.476,0.017682,-0.6146,1.0235,1.039,False
5,63,13,"(5, 63, 13)",-2.4779,0.017698,-0.6128,1.0262,1.0455,False
34,15,5,"(34, 15, 5)",2.4874,0.017705,0.7424,1.0362,1.0138,True
12,69,11,"(12, 69, 11)",-2.4562,0.017707,-0.6419,1.0161,1.0321,False
4,60,11,"(4, 60, 11)",-2.4864,0.017725,-0.6073,1.0226,1.0459,False
45,18,12,"(45, 18, 12)",-2.4541,0.017727,-0.6523,1.0348,1.046,False
61,19,18,"(61, 19, 18)",-2.464,0.01774,-0.6245,1.0238,1.0404,False
4,40,20,"(4, 40, 20)",2.5108,0.017776,0.7811,1.045,1.0307,True
52,82,13,"(52, 82, 13)",-2.4663,0.017784,-0.6204,1.0284,1.0446,False
29,82,23,"(29, 82, 23)",-2.4664,0.017793,-0.6201,1.0328,1.0495,False
19,10,16,"(19, 10, 16)",2.5377,0.017796,0.8204,1.0457,1.0248,True
22,43,25,"(22, 43, 25)",2.4889,0.017807,0.7481,0.9904,0.9535,True
27,83,17,"(27, 83, 17)",-2.4853,0.01781,-0.6063,1.003,1.0383,False
57,59,27,"(57, 59, 27)",2.4674,0.017826,0.7098,1.0335,1.0142,True
15,49,27,"(15, 49, 27)",-2.4778,0.017835,-0.61,1.0378,1.0503,False
51,22,3,"(51, 22, 3)",-2.4528,0.017838,-0.6686,1.0277,1.0409,False
40,95,19,"(40, 95, 19)",-2.4888,0.017841,-0.6041,0.9941,1.0354,False
13,42,18,"(13, 42, 18)",-2.4771,0.017848,-0.6102,1.0336,1.0456,False
5,45,20,"(5, 45, 20)",-2.4559,0.017853,-0.6327,1.0298,1.0422,False
22,57,23,"(22, 57, 23)",-2.4555,0.017856,-0.6813,0.9521,0.9931,False
52,47,18,"(52, 47, 18)",2.488,0.01788,0.749,0.9496,0.8899,True
49,39,26,"(49, 39, 26)",2.4886,0.017884,0.75,0.9993,0.9688,True
15,30,18,"(15, 30, 18)",-2.4583,0.01791,-0.626,1.0305,1.0461,False
28,15,7,"(28, 15, 7)",2.4975,0.017921,0.7652,1.0394,1.0206,True
37,33,14,"(37, 33, 14)",-2.46,0.017929,-0.6229,1.0258,1.0423,False
37,94,19,"(37, 94, 19)",-2.456,0.01794,-0.6283,1.0048,1.0325,False
21,56,24,"(21, 56, 24)",-2.4521,0.017958,-0.6352,0.9674,1.0145,False
40,92,20,"(40, 92, 20)",-2.4721,0.01796,-0.6112,1.0094,1.0341,False
49,37,12,"(49, 37, 12)",-2.478,0.01798,-0.6071,1.0033,1.0283,False
29,10,21,"(29, 10, 21)",-2.4549,0.017983,-0.6282,1.0399,1.0496,False
20,72,17,"(20, 72, 17)",-2.4521,0.017995,-0.6331,1.0517,1.0581,False
28,75,24,"(28, 75, 24)",-2.4723,0.017997,-0.6102,1.0411,1.0527,False
