x,y,z,coordinate,t_stat,p_value,cohens_d,depr_mean,control_mean,depr_greater
23,93,18,"(23, 93, 18)",-2.5638,0.014175,-0.7424,0.0892,0.2575,False
25,46,23,"(25, 46, 23)",-2.5474,0.014186,-0.7046,-0.0243,0.1352,False
61,54,31,"(61, 54, 31)",2.5502,0.014186,0.7131,0.166,-0.0141,True
57,54,13,"(57, 54, 13)",2.5459,0.014191,0.6996,0.0597,-0.0752,True
42,37,29,"(42, 37, 29)",2.559,0.014219,0.7351,0.1035,-0.0239,True
47,53,12,"(47, 53, 12)",-2.5577,0.014231,-0.7331,-0.0649,0.1396,False
56,10,11,"(56, 10, 11)",-2.5717,0.014231,-0.7589,0.1083,0.2822,False
32,69,16,"(32, 69, 16)",2.5872,0.014232,0.7835,0.25,0.0467,True
43,8,13,"(43, 8, 13)",-2.5421,0.014237,-0.6846,0.0257,0.2147,False
41,66,32,"(41, 66, 32)",-2.5564,0.01425,-0.7314,0.01,0.2104,False
61,49,27,"(61, 49, 27)",-2.542,0.014261,-0.6894,0.0138,0.2032,False
69,22,15,"(69, 22, 15)",-2.5414,0.014262,-0.6751,0.0244,0.1791,False
35,52,22,"(35, 52, 22)",-2.5491,0.014288,-0.7169,0.0084,0.1936,False
66,58,10,"(66, 58, 10)",-2.5518,0.014293,-0.7237,-0.0516,0.1197,False
50,39,5,"(50, 39, 5)",2.5399,0.014316,0.6828,0.1176,-0.0636,True
44,59,25,"(44, 59, 25)",-2.5406,0.014318,-0.6901,0.0812,0.2747,False
22,38,23,"(22, 38, 23)",-2.5441,0.014328,-0.7056,-0.0397,0.1143,False
27,8,6,"(27, 8, 6)",-2.546,0.014337,-0.7121,0.0057,0.1811,False
5,40,23,"(5, 40, 23)",-2.5543,0.014346,-0.7319,-0.033,0.1219,False
23,89,17,"(23, 89, 17)",-2.5425,0.014353,-0.7024,0.0752,0.2519,False
49,53,29,"(49, 53, 29)",2.5444,0.014356,0.7087,0.1118,-0.0433,True
56,44,16,"(56, 44, 16)",-2.5389,0.01436,-0.6718,-0.0308,0.1336,False
63,75,14,"(63, 75, 14)",2.5383,0.01438,0.6721,0.136,-0.0624,True
61,39,11,"(61, 39, 11)",2.5611,0.014392,0.7471,0.0873,-0.0445,True
47,53,11,"(47, 53, 11)",-2.5976,0.014395,-0.8045,-0.0276,0.1594,False
24,37,15,"(24, 37, 15)",-2.541,0.014404,-0.7017,0.0175,0.1645,False
42,81,26,"(42, 81, 26)",-2.5724,0.014411,-0.767,0.0374,0.2464,False
26,88,11,"(26, 88, 11)",-2.5392,0.014415,-0.6957,-0.0371,0.1732,False
19,87,22,"(19, 87, 22)",-2.5443,0.014421,-0.7131,0.0104,0.2065,False
55,58,32,"(55, 58, 32)",2.5382,0.014422,0.6922,0.189,-0.0221,True
65,52,11,"(65, 52, 11)",2.5595,0.01443,0.7457,0.1194,-0.0514,True
34,22,19,"(34, 22, 19)",-2.5473,0.014438,-0.7216,0.0824,0.2692,False
59,44,11,"(59, 44, 11)",2.5363,0.014443,0.6754,0.1062,-0.0269,True
66,22,13,"(66, 22, 13)",-2.5438,0.014445,-0.7133,0.0108,0.168,False
25,77,17,"(25, 77, 17)",-2.541,0.01445,-0.7058,-0.0204,0.1106,False
22,32,20,"(22, 32, 20)",-2.555,0.014454,-0.7384,-0.0817,0.052,False
22,72,6,"(22, 72, 6)",-2.5711,0.014471,-0.7671,-0.0342,0.1641,False
32,31,12,"(32, 31, 12)",-2.5425,0.014481,-0.7123,0.0325,0.1881,False
41,30,28,"(41, 30, 28)",2.5592,0.014509,0.7485,0.1871,0.0354,True
39,65,32,"(39, 65, 32)",-2.5362,0.014521,-0.6949,-0.047,0.1431,False
18,11,13,"(18, 11, 13)",-2.5526,0.014521,-0.7369,-0.0049,0.1828,False
64,91,12,"(64, 91, 12)",-2.5428,0.014523,-0.7158,-0.069,0.1042,False
66,52,11,"(66, 52, 11)",2.5382,0.014526,0.703,0.1469,-0.0162,True
47,32,15,"(47, 32, 15)",2.5503,0.014527,0.7326,0.147,-0.0486,True
48,65,15,"(48, 65, 15)",2.5736,0.014529,0.7732,0.166,-0.0213,True
3,50,23,"(3, 50, 23)",-2.5409,0.014533,-0.7113,-0.0621,0.1374,False
23,25,20,"(23, 25, 20)",-2.537,0.014546,-0.7002,-0.0525,0.1011,False
23,20,12,"(23, 20, 12)",-2.5369,0.014549,-0.7004,-0.0003,0.161,False
48,18,15,"(48, 18, 15)",-2.5858,0.014556,-0.7926,-0.0201,0.1326,False
35,83,24,"(35, 83, 24)",-2.5541,0.014571,-0.742,0.0377,0.2173,False
73,64,11,"(73, 64, 11)",-2.5831,0.014573,-0.7892,0.0181,0.2087,False
65,22,11,"(65, 22, 11)",-2.5468,0.014582,-0.7281,0.0723,0.2308,False
56,71,12,"(56, 71, 12)",-2.5535,0.014586,-0.7414,0.0746,0.255,False
9,47,24,"(9, 47, 24)",-2.5389,0.014591,-0.7098,-0.056,0.1031,False
66,54,21,"(66, 54, 21)",-2.5337,0.014591,-0.6915,0.0395,0.1921,False
60,53,28,"(60, 53, 28)",-2.5333,0.014602,-0.6907,-0.0329,0.106,False
66,24,14,"(66, 24, 14)",-2.5478,0.014623,-0.7321,-0.0044,0.1533,False
53,89,16,"(53, 89, 16)",2.5315,0.014635,0.6845,0.2501,0.0951,True
23,26,22,"(23, 26, 22)",-2.5458,0.014648,-0.7292,-0.0669,0.0868,False
33,87,15,"(33, 87, 15)",2.5666,0.014657,0.7668,0.4387,0.2584,True
23,36,29,"(23, 36, 29)",2.5297,0.014682,0.6786,0.1451,-0.0121,True
31,47,14,"(31, 47, 14)",-2.5549,0.014709,-0.7492,-0.063,0.1307,False
70,31,15,"(70, 31, 15)",-2.5799,0.014715,-0.7893,-0.0442,0.1414,False
31,57,13,"(31, 57, 13)",-2.5416,0.014721,-0.7242,0.0458,0.269,False
59,22,8,"(59, 22, 8)",-2.5544,0.014726,-0.749,0.0737,0.2325,False
47,19,27,"(47, 19, 27)",2.541,0.014738,0.7235,0.1247,-0.0281,True
24,68,15,"(24, 68, 15)",-2.5295,0.01475,-0.691,-0.0261,0.1339,False
38,49,15,"(38, 49, 15)",2.538,0.014757,0.7179,0.1341,-0.0655,True
42,11,5,"(42, 11, 5)",-2.5639,0.014758,-0.7662,-0.0234,0.1623,False
19,63,26,"(19, 63, 26)",-2.5463,0.01477,-0.736,0.0237,0.2105,False
10,23,8,"(10, 23, 8)",-2.5613,0.014774,-0.7625,-0.036,0.1403,False
33,38,15,"(33, 38, 15)",-2.5331,0.014774,-0.706,0.1389,0.3208,False
12,81,20,"(12, 81, 20)",-2.5441,0.01478,-0.7321,-0.0205,0.1886,False
65,64,2,"(65, 64, 2)",-2.5328,0.014789,-0.7064,0.0184,0.1505,False
27,86,15,"(27, 86, 15)",-2.5261,0.014826,-0.6694,0.0716,0.2235,False
27,58,24,"(27, 58, 24)",2.561,0.014829,0.7641,0.1325,-0.0049,True
27,58,8,"(27, 58, 8)",2.526,0.014838,0.667,0.1475,-0.0003,True
42,30,16,"(42, 30, 16)",-2.5524,0.014849,-0.7506,0.0303,0.2486,False
5,40,13,"(5, 40, 13)",2.5252,0.014852,0.6785,0.1019,-0.0327,True
33,5,9,"(33, 5, 9)",2.5312,0.01486,0.7066,0.0658,-0.0789,True
7,54,25,"(7, 54, 25)",-2.5426,0.014869,-0.7334,0.0082,0.1788,False
14,24,9,"(14, 24, 9)",-2.5407,0.014873,-0.7298,0.0277,0.222,False
14,64,14,"(14, 64, 14)",-2.5277,0.014875,-0.6965,0.0181,0.1843,False
39,49,8,"(39, 49, 8)",2.5473,0.014885,0.7429,0.2461,0.047,True
54,57,26,"(54, 57, 26)",-2.5322,0.014913,-0.7127,-0.0278,0.1402,False
31,54,25,"(31, 54, 25)",2.5342,0.014938,0.7191,0.1166,-0.0302,True
65,24,14,"(65, 24, 14)",-2.5312,0.014943,-0.712,-0.001,0.1555,False
49,58,15,"(49, 58, 15)",2.5247,0.01495,0.6919,0.1335,-0.01,True
59,41,30,"(59, 41, 30)",-2.5247,0.014954,-0.6579,0.0122,0.1627,False
10,73,7,"(10, 73, 7)",-2.5592,0.014955,-0.7658,0.0275,0.2079,False
28,20,27,"(28, 20, 27)",-2.5429,0.01497,-0.7383,-0.0502,0.0835,False
13,46,19,"(13, 46, 19)",-2.5241,0.014979,-0.6925,0.0838,0.2758,False
69,55,9,"(69, 55, 9)",2.5274,0.014989,0.7049,0.1404,-0.0437,True
53,77,18,"(53, 77, 18)",-2.5233,0.014994,-0.6908,-0.0682,0.0799,False
18,23,11,"(18, 23, 11)",-2.5527,0.015008,-0.7571,0.0078,0.1689,False
36,95,20,"(36, 95, 20)",-2.5216,0.015011,-0.6835,0.0537,0.2504,False
45,19,30,"(45, 19, 30)",-2.5489,0.015015,-0.751,-0.0177,0.186,False
21,58,21,"(21, 58, 21)",2.5335,0.015016,0.7215,0.0768,-0.1049,True
8,26,21,"(8, 26, 21)",-2.5396,0.015024,-0.7344,0.0876,0.2606,False
60,69,5,"(60, 69, 5)",-2.5546,0.015031,-0.7612,0.0041,0.1994,False
58,44,32,"(58, 44, 32)",-2.5416,0.01504,-0.739,0.0437,0.2161,False
70,19,24,"(70, 19, 24)",2.5229,0.01508,0.653,0.0951,-0.0026,True
55,30,28,"(55, 30, 28)",2.5404,0.015082,0.7385,0.1158,-0.0431,True
35,81,27,"(35, 81, 27)",-2.5227,0.015085,-0.6974,0.0425,0.197,False
73,30,12,"(73, 30, 12)",2.5281,0.015087,0.6434,0.1,-0.0238,True
37,87,15,"(37, 87, 15)",-2.5594,0.015105,-0.7713,0.5684,0.7993,False
40,37,11,"(40, 37, 11)",-2.5547,0.01512,-0.7645,-0.0662,0.1244,False
17,39,16,"(17, 39, 16)",2.521,0.015121,0.6944,0.1079,-0.0433,True
43,34,6,"(43, 34, 6)",-2.532,0.015129,-0.724,-0.0652,0.1323,False
5,40,20,"(5, 40, 20)",2.5176,0.015136,0.6751,0.1251,-0.05,True
44,18,4,"(44, 18, 4)",-2.5411,0.015136,-0.742,-0.0308,0.1419,False
6,47,24,"(6, 47, 24)",-2.5215,0.015143,-0.6981,0.014,0.1654,False
51,86,21,"(51, 86, 21)",-2.53,0.015152,-0.7208,-0.0172,0.2094,False
46,43,31,"(46, 43, 31)",-2.5308,0.015156,-0.7228,-0.0119,0.1395,False
51,78,24,"(51, 78, 24)",2.518,0.015161,0.6611,0.2622,0.0939,True
31,53,31,"(31, 53, 31)",-2.5389,0.015162,-0.7392,-0.0298,0.131,False
39,54,10,"(39, 54, 10)",-2.5286,0.015168,-0.7186,-0.1099,0.082,False
37,7,10,"(37, 7, 10)",-2.5251,0.015168,-0.7102,0.043,0.2252,False
23,74,17,"(23, 74, 17)",-2.5346,0.015183,-0.7318,-0.0552,0.1094,False
54,54,5,"(54, 54, 5)",-2.5482,0.015189,-0.7564,-0.035,0.1486,False
19,12,13,"(19, 12, 13)",-2.5184,0.015196,-0.6914,0.0424,0.1783,False
57,69,12,"(57, 69, 12)",-2.5312,0.015206,-0.7261,0.0486,0.2312,False
37,33,30,"(37, 33, 30)",-2.5181,0.015211,-0.6915,-0.0044,0.1727,False
57,68,5,"(57, 68, 5)",2.5575,0.015217,0.7723,0.1131,-0.0509,True
24,18,12,"(24, 18, 12)",-2.5152,0.015232,-0.6761,-0.0316,0.1256,False
74,47,23,"(74, 47, 23)",-2.5402,0.015234,-0.7444,-0.0006,0.2155,False
46,64,23,"(46, 64, 23)",-2.5177,0.015239,-0.6928,-0.05,0.079,False
24,39,32,"(24, 39, 32)",-2.5196,0.015249,-0.7002,-0.0401,0.1181,False
61,24,18,"(61, 24, 18)",-2.5158,0.015251,-0.6853,0.0213,0.1638,False
49,8,13,"(49, 8, 13)",-2.5228,0.015264,-0.71,0.039,0.2056,False
