x,y,z,coordinate,t_stat,p_value,cohens_d,depr_mean,control_mean,depr_greater
43,79,25,"(43, 79, 25)",-4.56,4.5e-05,-1.3135,-0.0144,0.2275,False
59,55,12,"(59, 55, 12)",4.4127,5.8e-05,1.2139,0.1531,-0.097,True
32,29,2,"(32, 29, 2)",-4.3783,7.5e-05,-1.2454,0.1254,0.4415,False
6,45,17,"(6, 45, 17)",4.2769,8.8e-05,1.1536,0.1678,-0.0885,True
62,60,19,"(62, 60, 19)",4.2747,9.1e-05,1.1708,0.1175,-0.1483,True
57,78,19,"(57, 78, 19)",4.3303,9.9e-05,1.2618,0.1755,-0.0575,True
56,78,19,"(56, 78, 19)",4.2135,0.000112,1.1608,0.1356,-0.0864,True
58,25,19,"(58, 25, 19)",4.1581,0.00013,1.0963,0.1013,-0.1076,True
32,30,2,"(32, 30, 2)",-4.1684,0.000135,-1.1651,0.0854,0.3896,False
62,60,18,"(62, 60, 18)",4.1388,0.000143,1.1424,0.0854,-0.1008,True
1,48,21,"(1, 48, 21)",4.1103,0.000162,1.0538,0.0897,-0.1469,True
60,9,15,"(60, 9, 15)",-4.1538,0.000168,-1.2079,-0.0749,0.1881,False
55,4,17,"(55, 4, 17)",-3.999,0.000214,-1.0738,-0.0811,0.1723,False
43,52,23,"(43, 52, 23)",3.9921,0.00024,1.1232,0.167,-0.032,True
29,83,21,"(29, 83, 21)",-3.9904,0.000262,-1.1475,0.029,0.2444,False
37,50,28,"(37, 50, 28)",3.9686,0.00027,1.1308,0.1999,-0.0307,True
18,54,8,"(18, 54, 8)",-3.8416,0.000352,-1.0193,-0.0361,0.1531,False
27,92,16,"(27, 92, 16)",-3.8683,0.000353,-1.0895,0.0072,0.2374,False
41,18,9,"(41, 18, 9)",3.8319,0.000363,1.0227,0.1772,-0.0193,True
42,48,29,"(42, 48, 29)",-3.8513,0.000369,-1.0821,-0.062,0.1435,False
44,45,29,"(44, 45, 29)",-3.9302,0.000388,-1.1802,-0.0232,0.1809,False
22,51,21,"(22, 51, 21)",3.8127,0.000395,1.0477,0.0387,-0.1463,True
67,58,11,"(67, 58, 11)",-3.8281,0.000404,-1.0825,-0.0595,0.2184,False
5,40,18,"(5, 40, 18)",3.7922,0.000417,0.9912,0.1317,-0.1278,True
60,20,14,"(60, 20, 14)",3.8087,0.00046,1.0994,0.1164,-0.0866,True
11,59,10,"(11, 59, 10)",-3.7724,0.000479,-1.0672,-0.0751,0.2347,False
42,20,20,"(42, 20, 20)",-3.7396,0.000487,-1.0161,0.0319,0.3031,False
50,13,23,"(50, 13, 23)",3.739,0.000513,1.0451,0.1171,-0.1148,True
