x,y,z,coordinate,t_stat,p_value,cohens_d,depr_mean,control_mean,depr_greater
70,65,11,"(70, 65, 11)",-2.2185,0.031389,-0.6137,0.9287,1.0178,False
50,83,15,"(50, 83, 15)",2.229,0.03139,0.6441,1.0721,0.9709,True
43,62,30,"(43, 62, 30)",-2.2267,0.031398,-0.6389,0.9285,1.0227,False
21,59,22,"(21, 59, 22)",-2.2479,0.031404,-0.6825,1.018,1.0976,False
17,56,29,"(17, 56, 29)",-2.2202,0.031414,-0.6211,0.9511,1.0388,False
51,18,12,"(51, 18, 12)",2.2215,0.031427,0.6258,1.0753,0.9753,True
33,45,30,"(33, 45, 30)",2.2183,0.031435,0.6152,0.9958,0.9295,True
69,35,15,"(69, 35, 15)",2.2304,0.031452,0.6491,1.0265,0.9499,True
45,18,15,"(45, 18, 15)",2.2177,0.031456,0.6139,1.0872,0.9943,True
35,14,11,"(35, 14, 11)",2.2192,0.031459,0.6196,0.9976,0.9013,True
74,45,19,"(74, 45, 19)",-2.2352,0.031472,-0.6596,0.9988,1.1008,False
36,75,25,"(36, 75, 25)",-2.2191,0.031484,-0.6203,0.9436,1.0373,False
38,9,11,"(38, 9, 11)",2.2175,0.0315,0.6151,1.0609,0.9533,True
66,21,17,"(66, 21, 17)",-2.2191,0.031506,-0.6211,1.0289,1.1123,False
23,59,24,"(23, 59, 24)",2.2421,0.031509,0.674,1.0267,0.9435,True
44,5,18,"(44, 5, 18)",2.214,0.031521,0.5943,1.0994,0.9973,True
39,40,24,"(39, 40, 24)",2.2224,0.031523,0.6317,1.1321,1.0516,True
26,57,21,"(26, 57, 21)",2.2202,0.031544,0.626,1.0457,0.9791,True
32,13,18,"(32, 13, 18)",2.2162,0.031547,0.6123,0.9984,0.9275,True
36,47,22,"(36, 47, 22)",2.2285,0.031564,0.6477,1.0173,0.941,True
48,23,8,"(48, 23, 8)",2.2554,0.031564,0.6989,1.0257,0.9441,True
28,11,7,"(28, 11, 7)",2.2168,0.031597,0.6173,1.0215,0.9276,True
51,85,14,"(51, 85, 14)",2.2222,0.031598,0.6337,1.0217,0.9371,True
70,65,10,"(70, 65, 10)",-2.2216,0.031608,-0.6325,0.9511,1.0324,False
61,29,18,"(61, 29, 18)",-2.2159,0.031615,-0.6149,1.0437,1.1378,False
32,27,8,"(32, 27, 8)",-2.2135,0.031616,-0.6032,0.954,1.0395,False
45,60,17,"(45, 60, 17)",2.2339,0.031618,0.6605,1.0441,0.9699,True
40,9,13,"(40, 9, 13)",2.221,0.031621,0.6312,1.0739,0.9726,True
20,73,23,"(20, 73, 23)",2.218,0.031638,0.6231,1.0328,0.9671,True
55,47,23,"(55, 47, 23)",2.2167,0.031654,0.6196,1.0133,0.9485,True
19,43,28,"(19, 43, 28)",-2.2257,0.031661,-0.644,1.007,1.0872,False
5,61,15,"(5, 61, 15)",-2.2328,0.031673,-0.6596,0.9924,1.0923,False
68,40,23,"(68, 40, 23)",-2.2204,0.031681,-0.6314,1.0133,1.1087,False
44,20,8,"(44, 20, 8)",2.2211,0.031692,0.6338,1.0113,0.9374,True
56,75,24,"(56, 75, 24)",-2.2124,0.031702,-0.6029,0.9897,1.0776,False
33,61,22,"(33, 61, 22)",-2.2153,0.031711,-0.6172,0.9581,1.0337,False
60,43,22,"(60, 43, 22)",2.2145,0.031725,0.6146,1.0085,0.93,True
47,72,27,"(47, 72, 27)",-2.2195,0.031755,-0.6316,0.9485,1.0345,False
39,11,12,"(39, 11, 12)",-2.2123,0.031777,-0.6083,1.0001,1.0855,False
26,45,29,"(26, 45, 29)",2.218,0.031785,0.6284,1.0071,0.9313,True
66,36,17,"(66, 36, 17)",-2.2174,0.03179,-0.6269,1.0106,1.0933,False
18,74,15,"(18, 74, 15)",-2.2156,0.031796,-0.6217,1.0046,1.0937,False
64,69,16,"(64, 69, 16)",2.2183,0.0318,0.6298,1.0652,0.9789,True
70,39,23,"(70, 39, 23)",-2.2217,0.031808,-0.6389,0.9693,1.064,False
64,37,19,"(64, 37, 19)",-2.2155,0.031825,-0.6225,0.999,1.0875,False
56,61,25,"(56, 61, 25)",2.2267,0.03185,0.6513,1.0361,0.9611,True
13,72,14,"(13, 72, 14)",-2.2119,0.031853,-0.6106,0.9902,1.0739,False
47,20,19,"(47, 20, 19)",2.2101,0.031855,0.5808,1.049,0.9717,True
25,79,24,"(25, 79, 24)",-2.2122,0.031857,-0.6122,0.9655,1.0589,False
38,23,18,"(38, 23, 18)",2.2152,0.031875,0.6234,1.0675,0.9663,True
29,42,20,"(29, 42, 20)",2.2111,0.031879,0.6086,1.0406,0.9513,True
57,65,10,"(57, 65, 10)",2.2151,0.031881,0.6236,1.0369,0.9494,True
54,86,16,"(54, 86, 16)",2.2222,0.031903,0.6427,1.0048,0.9128,True
61,48,17,"(61, 48, 17)",2.2196,0.031911,0.6369,1.0565,0.9674,True
21,42,25,"(21, 42, 25)",2.2266,0.031917,0.653,1.0001,0.9278,True
31,36,28,"(31, 36, 28)",2.2098,0.031927,0.6051,1.0142,0.951,True
64,56,10,"(64, 56, 10)",2.2113,0.031931,0.6123,0.9971,0.912,True
41,14,23,"(41, 14, 23)",2.216,0.031932,0.628,1.1253,1.02,True
29,28,1,"(29, 28, 1)",-2.2083,0.031936,-0.5891,0.9423,1.0161,False
38,21,18,"(38, 21, 18)",2.2085,0.031941,0.5964,1.1051,1.0107,True
69,32,19,"(69, 32, 19)",-2.226,0.03196,-0.6526,0.9906,1.0878,False
12,22,19,"(12, 22, 19)",-2.2143,0.031974,-0.6244,1.0304,1.1204,False
49,20,19,"(49, 20, 19)",2.2158,0.031981,0.6291,1.0659,0.9659,True
35,51,16,"(35, 51, 16)",-2.2309,0.031993,-0.6634,0.9764,1.0454,False
59,78,15,"(59, 78, 15)",-2.2244,0.031999,-0.6503,0.946,1.0356,False
21,13,17,"(21, 13, 17)",2.2127,0.032003,0.6207,1.1125,1.0203,True
18,28,18,"(18, 28, 18)",2.208,0.032004,0.6,1.026,0.9443,True
61,27,18,"(61, 27, 18)",-2.2337,0.032007,-0.6692,1.0258,1.1137,False
24,54,22,"(24, 54, 22)",2.2072,0.032038,0.5963,1.0445,0.9716,True
48,21,12,"(48, 21, 12)",2.212,0.032076,0.6211,1.0558,0.9622,True
19,54,27,"(19, 54, 27)",-2.2142,0.032076,-0.6279,0.9797,1.0646,False
61,82,17,"(61, 82, 17)",2.2077,0.032076,0.604,1.0408,0.9517,True
42,45,29,"(42, 45, 29)",-2.2073,0.032084,-0.6019,0.9831,1.0608,False
59,31,13,"(59, 31, 13)",2.2073,0.032122,0.6048,1.0276,0.9719,True
46,29,17,"(46, 29, 17)",2.2298,0.032142,0.6647,1.1378,1.0358,True
55,78,10,"(55, 78, 10)",-2.2195,0.032145,-0.6432,0.9114,1.0005,False
24,10,21,"(24, 10, 21)",2.216,0.032149,0.6349,1.1119,1.0185,True
48,21,11,"(48, 21, 11)",2.2118,0.032161,0.624,1.0627,0.9647,True
42,83,16,"(42, 83, 16)",2.2135,0.032166,0.6289,1.0093,0.9111,True
20,65,13,"(20, 65, 13)",-2.2087,0.032166,-0.6138,0.9528,1.0157,False
9,67,23,"(9, 67, 23)",-2.2073,0.032167,-0.6078,1.0216,1.1218,False
37,88,21,"(37, 88, 21)",-2.2092,0.032172,-0.6159,0.975,1.0672,False
30,27,25,"(30, 27, 25)",2.2074,0.032209,0.6107,1.0396,0.9641,True
38,67,27,"(38, 67, 27)",-2.2111,0.032269,-0.6257,1.0432,1.1239,False
60,64,24,"(60, 64, 24)",-2.2103,0.032277,-0.6237,0.988,1.061,False
50,17,20,"(50, 17, 20)",2.2044,0.032283,0.5788,1.0289,0.96,True
32,53,16,"(32, 53, 16)",-2.2099,0.032308,-0.6237,0.9905,1.0578,False
72,56,18,"(72, 56, 18)",2.2151,0.032312,0.6375,1.0412,0.95,True
65,50,22,"(65, 50, 22)",2.2044,0.032313,0.6025,1.0319,0.9521,True
48,73,23,"(48, 73, 23)",2.2128,0.032314,0.6319,1.0332,0.957,True
37,69,29,"(37, 69, 29)",-2.2039,0.032328,-0.6004,1.0282,1.1154,False
31,20,2,"(31, 20, 2)",-2.2466,0.032341,-0.6994,0.9236,1.0123,False
51,20,21,"(51, 20, 21)",2.2087,0.032356,0.5629,1.0204,0.9519,True
17,72,23,"(17, 72, 23)",2.2032,0.032373,0.5998,1.0804,0.9996,True
