Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
1,-62.612000703811646,-23.980001211166382,7.0,3.337763735608709,1562
1a,-66.54000067710876,-29.87200117111206,12.0,2.5258777815852866,
1b,-62.612000703811646,-35.76400113105774,27.0,2.1693822035769896,
2,35.58799862861633,40.831998348236084,17.0,3.1787106072891214,250
3,25.767998695373535,-29.87200117111206,-3.0,3.170913530514647,1234
3a,13.983998775482178,-31.83600115776062,7.0,3.1704281096167732,
4,-56.72000074386597,-4.340001344680786,-8.0,3.155272587590033,1137
5,-23.332000970840454,-0.412001371383667,42.0,3.132786783602071,983
5a,-21.368000984191895,7.443998575210571,52.0,2.396109180640923,
6,45.40799856185913,5.479998588562012,12.0,3.074000549228473,520
7,15.947998762130737,-78.97200083732605,17.0,3.0563842699886714,1697
7a,21.839998722076416,-86.82800078392029,37.0,2.9611532698526,
7b,12.019998788833618,-86.82800078392029,27.0,2.3425003073165795,
8,29.695998668670654,-8.268001317977905,42.0,3.026767095519932,675
9,67.01199841499329,17.26399850845337,-48.0,3.004165474074829,1099
9a,70.9399983882904,7.443998575210571,-48.0,2.294983886974941,
10,-44.93600082397461,15.29999852180481,-48.0,2.9266615095489876,366
11,51.29999852180481,-14.160001277923584,-3.0,2.8843500989241795,366
12,-74.396000623703,-2.3760013580322266,22.0,2.879044448009959,250
13,33.62399864196777,-57.368000984191895,67.0,2.8515385400372417,540
14,17.911998748779297,-33.80000114440918,87.0,2.833247167543845,1176
14a,27.731998682022095,-23.980001211166382,87.0,2.148012430371886,
14b,23.803998708724976,-41.65600109100342,82.0,2.099253854828352,
15,-19.404000997543335,42.795998334884644,-13.0,2.829974990301766,327
16,-25.296000957489014,-12.196001291275024,37.0,2.8187635306550054,713
17,45.40799856185913,36.903998374938965,12.0,2.777345214250411,1677
17a,37.55199861526489,34.939998388290405,2.0,2.6931980981868002,
17b,51.29999852180481,46.72399830818176,7.0,2.3186866337564203,
18,53.26399850845337,-6.304001331329346,7.0,2.7417797234249206,308
19,-54.75600075721741,15.29999852180481,7.0,2.7018178303012887,540
20,49.33599853515625,-14.160001277923584,32.0,2.6906380668281527,212
21,-25.296000957489014,-67.18800091743469,-3.0,2.6828733649541383,347
22,-31.188000917434692,-55.404000997543335,-3.0,2.6647832880150477,405
23,-74.396000623703,-14.160001277923584,42.0,2.663207821054701,462
23a,-72.43200063705444,-6.304001331329346,42.0,2.104062691688881,
24,-56.72000074386597,36.903998374938965,-13.0,2.6617587812284946,1388
24a,-54.75600075721741,48.68799829483032,-3.0,2.43261283087704,
25,-35.11600089073181,-63.26000094413757,37.0,2.5954856952704644,405
26,31.659998655319214,19.22799849510193,-23.0,2.5899726535183736,347
27,53.26399850845337,-35.76400113105774,57.0,2.5876629798873174,385
27a,59.15599846839905,-41.65600109100342,62.0,2.295665661132584,
28,39.51599860191345,-47.5480010509491,72.0,2.577049928546961,385
29,-25.296000957489014,-14.160001277923584,-33.0,2.5750817423507524,327
30,-54.75600075721741,31.011998414993286,22.0,2.5746596987557453,906
30a,-46.90000081062317,27.083998441696167,17.0,2.409428415287017,
31,-56.72000074386597,-2.3760013580322266,37.0,2.5614108594881175,366
32,-21.368000984191895,-29.87200117111206,-3.0,2.540011235526175,1157
32a,-25.296000957489014,-41.65600109100342,-3.0,2.2338075961529475,
32b,-17.440001010894775,-37.7280011177063,-3.0,2.1689803819508366,
33,-52.79200077056885,-39.69200110435486,-8.0,2.5264113496882836,675
33a,-62.612000703811646,-45.58400106430054,-3.0,2.3061517769305055,
34,17.911998748779297,-2.3760013580322266,62.0,2.5233379175941337,405
35,-39.04400086402893,-47.5480010509491,72.0,2.5039476933144442,327
36,-48.86400079727173,-4.340001344680786,2.0,2.4993904487745167,192
37,-66.54000067710876,19.22799849510193,-38.0,2.497714195653157,192
38,-35.11600089073181,-14.160001277923584,-13.0,2.4881432721689247,308
39,33.62399864196777,-20.052001237869263,-13.0,2.4837443935106625,289
40,12.019998788833618,17.26399850845337,67.0,2.478331337144046,327
41,25.767998695373535,36.903998374938965,27.0,2.476844435885202,366
42,-21.368000984191895,-31.83600115776062,17.0,2.470365019225956,250
43,-11.548001050949097,-55.404000997543335,-8.0,2.438173330488248,443
44,25.767998695373535,68.32799816131592,12.0,2.4300612771847003,192
45,-15.476001024246216,56.54399824142456,12.0,2.414809917416343,212
46,41.47999858856201,-73.08000087738037,37.0,2.407289164104095,192
47,-54.75600075721741,-18.088001251220703,37.0,2.4068109795272834,289
48,39.51599860191345,-8.268001317977905,12.0,2.402171164094715,212
49,21.839998722076416,-80.93600082397461,-38.0,2.402045427384605,192
50,39.51599860191345,-71.11600089073181,-8.0,2.3902353810414945,192
51,47.37199854850769,-65.22400093078613,7.0,2.386190774574336,231
52,-42.97200083732605,-25.94400119781494,37.0,2.328458048243284,250
53,33.62399864196777,9.40799856185913,77.0,2.3224002636245187,212
54,6.1279988288879395,-39.69200110435486,32.0,2.3217363445848465,327
55,8.091998815536499,-65.22400093078613,-23.0,2.290924361674506,250
56,-44.93600082397461,21.19199848175049,42.0,2.2104753267303483,482
